src_sn_addr,dst_sn_addr,first,last,total_c,echo_req,echo_resp,create_req,create_resp,update_req,update_resp,delete_req,delete_resp
192.168.59.163,172.25.141.148,1362000203,1365538221,1385504,7349,512,0,68199,23,1240087,4503,64831
192.168.59.163,172.25.41.84,1362000203,1365538221,36212682,1241,442,0,585094,1785,35060315,3757,560048
192.168.59.115,220.103.193.34,1362000203,1365538221,998130,6811,0,0,175177,30,640811,15358,159943
192.168.59.163,172.25.141.4,1362000203,1365538221,1996204,4744,470,0,168270,68,1650573,2973,169106
192.168.59.163,172.25.141.172,1362000203,1365538221,1232894,6611,482,0,81367,60,1061433,2228,80713
192.168.59.163,220.103.193.50,1362000203,1365538221,2112378,4655,0,0,222781,165,1656176,11802,216799
192.168.59.115,211.234.233.18,1362000203,1365538221,806433,6441,0,0,194750,15,410218,9349,185660
192.168.59.115,172.25.41.20,1362000203,1365538221,1509978,9881,510,0,417,48,1494954,1,4167
192.168.59.115,172.25.141.12,1362000203,1365538221,631951,9831,496,0,525,30,619008,8,2053
220.103.193.66,192.168.59.163,1362000203,1365538221,390255,0,9875,0,0,379421,20,937,2
192.168.59.163,211.234.233.114,1362000203,1365538221,1302013,4218,0,0,217085,65,861163,8056,211426
192.168.59.115,172.25.41.100,1362000203,1365538221,2377583,9861,486,0,571,95,2360230,8,6332
211.234.233.98,192.168.59.115,1362000203,1365538221,1428237,0,5286,394220,0,634409,12,387914,6396
192.168.59.163,211.234.233.194,1362000203,1365538221,83036368,373,0,0,1737048,8974,79588826,7374,1693773
192.168.59.115,172.25.141.92,1362000203,1365538221,1392731,9856,514,0,255,46,1378972,6,3082
172.25.141.28,192.168.59.163,1362000203,1365538221,1929820,502,4885,168186,0,1584107,79,169019,3042
192.168.59.163,172.25.41.28,1362000203,1365538221,36947584,1356,512,0,525607,1986,35897014,5414,515695
172.25.141.100,192.168.59.115,1362000203,1365538221,1134485,489,9853,563,0,1120597,36,2890,57
192.168.59.115,172.25.141.132,1362000203,1365538221,452388,9852,547,0,612,12,439834,0,1531
192.168.59.163,172.25.41.4,1362000203,1365538221,36817706,1309,517,0,525728,1941,35767526,5494,515191
192.168.59.163,172.25.141.76,1362000203,1365538221,1573089,3903,1,0,191442,53,1184700,2334,190656
172.25.141.180,192.168.59.163,1362000203,1365538221,1228051,480,6517,81236,0,1056979,42,80615,2182
211.234.233.2,192.168.59.163,1362000203,1365538221,60212110,0,516,1550477,0,57136283,8736,1507322,8776
172.25.141.148,192.168.59.163,1362000203,1365538221,1385372,512,7342,68190,0,1239976,22,64806,4524
192.168.59.163,211.234.233.2,1362000203,1365538221,60218714,514,0,0,1550479,8727,57142501,8784,1507709
172.25.141.188,192.168.59.115,1362000203,1365538221,613760,478,9845,209,0,601747,25,1453,3
220.103.193.2,192.168.59.115,1362000203,1365538221,159640,0,9859,851,0,147765,12,911,242
172.25.141.68,192.168.59.115,1362000203,1365538221,1358145,521,9854,265,0,1344215,48,3231,11
220.103.193.34,192.168.59.115,1362000203,1365538221,997810,0,6814,175122,0,640502,30,159964,15378
192.168.59.163,172.25.141.36,1362000203,1365538221,1363632,5406,479,0,157260,27,1041985,2599,155876
172.25.41.108,192.168.59.163,1362000203,1365538221,39984772,510,1141,567820,0,38853049,2073,555790,4389
211.234.233.34,192.168.59.163,1362000203,1365538221,839247,0,9902,0,0,827227,46,2072,0
192.168.59.115,172.25.141.188,1362000203,1365538221,614039,9877,476,0,210,25,602001,3,1447
172.25.41.68,192.168.59.115,1362000203,1365538221,5683156,453,9837,432,0,5653142,217,19066,9
172.25.141.172,192.168.59.163,1362000203,1365538221,1232963,482,6618,81318,0,1061568,51,80709,2217
192.168.59.163,220.103.193.66,1362000203,1365538221,390186,9881,0,0,0,20,379345,2,938
172.25.41.28,192.168.59.163,1362000203,1365538221,36947633,514,1355,525591,0,35897122,1935,515707,5409
172.25.141.164,192.168.59.115,1362000203,1365538221,584761,464,9858,223,0,572746,26,1439,5
211.234.233.130,192.168.59.115,1362000203,1365538221,1089993,0,6105,228782,0,626424,13,213504,15165
192.168.59.163,172.25.141.180,1362000203,1365538221,1228274,6491,480,0,81271,46,1057212,2196,80578
192.168.59.115,172.25.141.44,1362000203,1365538221,1463277,9863,502,0,167,53,1449667,2,3023
192.168.59.163,172.25.41.116,1362000203,1365538221,40160353,1226,528,0,566792,2117,39030160,4451,555079
192.168.59.115,172.25.141.68,1362000203,1365538221,1358184,9868,525,0,267,54,1344225,11,3234
220.103.193.18,192.168.59.163,1362000203,1365538221,718704,0,9885,0,0,706844,38,1936,1
192.168.59.115,220.103.193.2,1362000203,1365538221,159551,9850,0,0,849,12,147682,247,911
192.168.59.163,172.25.141.140,1362000203,1365538221,1398016,7340,521,0,67974,27,1253063,4386,64705
211.234.233.66,192.168.59.115,1362000203,1365538221,404176,0,9878,1194,0,390919,20,2077,88
